AU_ID,Rowid,Year,Figure,Breakdown,Dissaggregation,Indicator,Outcome,Measure,Source,Yearlab
226,3458,2012-13,94.3,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
227,3459,2013-14,91.2,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
228,3460,2014-15,96.3,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
229,3461,2015-16,94.3,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
230,3462,2016-17,95.8,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
231,3463,2017-18,92.4,All other categories,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
232,3401,2009-10,98.9,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
233,3402,2010-11,99.5,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
234,3403,2011-12,100,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
235,3404,2012-13,98.8,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
236,3405,2013-14,99.4,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
237,3406,2014-15,99.4,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
238,3407,2015-16,99.5,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
239,3408,2016-17,99.5,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
240,3409,2017-18,NA,Asian - Chinese,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
241,3410,2009-10,98.2,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
242,3411,2010-11,95.7,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
243,3412,2011-12,97.8,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
244,3413,2012-13,99,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
245,3414,2013-14,98.1,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
246,3415,2014-15,98.6,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
247,3416,2015-16,98.7,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
248,3417,2016-17,99.2,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
249,3418,2017-18,NA,Asian - Indian,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
250,3419,2009-10,97.8,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
251,3420,2010-11,97.3,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
252,3421,2011-12,96.8,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
253,3422,2012-13,98.1,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
254,3423,2013-14,97.9,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
255,3424,2014-15,96.6,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
256,3425,2015-16,97.8,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
257,3426,2016-17,98.2,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
258,3427,2017-18,97,Asian – Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
259,3428,2009-10,95.1,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
260,3429,2010-11,95.6,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
261,3430,2011-12,97.9,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
262,3431,2012-13,99,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
263,3432,2013-14,98.2,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
264,3433,2014-15,97.9,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
265,3434,2015-16,99,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
266,3435,2016-17,98.5,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
267,3436,2017-18,99.1,Asian - Pakistani,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
268,3437,2009-10,97.5,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
269,3438,2010-11,96.2,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
270,3439,2011-12,95.5,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
271,3440,2012-13,97.6,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
272,3441,2013-14,96.8,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
273,3442,2014-15,96.5,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
274,3443,2015-16,96.4,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
275,3444,2016-17,97.3,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
276,3445,2017-18,97.7,Mixed or multiple ethnic groups,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
277,3446,2009-10,86.7,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
278,3447,2010-11,89,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
279,3448,2011-12,90.9,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
280,3449,2012-13,91,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
281,3450,2013-14,93,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
282,3451,2014-15,93,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
283,3452,2015-16,93.6,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
284,3453,2016-17,92,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
285,3454,2017-18,93.7,Not Disclosed/Not known,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
286,3374,2009-10,NA,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
287,3375,2010-11,NA,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
288,3376,2011-12,94.5,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
289,3377,2012-13,95.3,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
290,3378,2013-14,94.4,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
291,3379,2014-15,94.7,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
292,3380,2015-16,96.1,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
293,3381,2016-17,95.4,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
294,3382,2017-18,95.5,White - non-Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
295,3383,2009-10,89.5,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
296,3384,2010-11,94.1,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
297,3385,2011-12,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
298,3386,2012-13,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
299,3387,2013-14,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
300,3388,2014-15,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
301,3389,2015-16,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
302,3390,2016-17,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
303,3391,2017-18,NA,White - Other,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
304,3356,2009-10,NA,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
305,3357,2010-11,NA,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
306,3358,2011-12,95.9,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
307,3359,2012-13,96.3,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
308,3360,2013-14,96.4,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
309,3361,2014-15,96.3,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
310,3362,2015-16,96.3,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
311,3363,2016-17,96.3,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
312,3364,2017-18,96.2,White – Scottish,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
313,3365,2009-10,94.6,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
314,3366,2010-11,95.2,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
315,3367,2011-12,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
316,3368,2012-13,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
317,3369,2013-14,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
318,3370,2014-15,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
319,3371,2015-16,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
320,3372,2016-17,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
321,3373,2017-18,NA,White - UK,Ethnicity,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
322,3464,2009-10,95.3,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
323,3465,2010-11,95.6,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
324,3466,2011-12,96.5,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
325,3467,2012-13,96.8,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
326,3468,2013-14,96.9,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
327,3469,2014-15,96.7,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
328,3470,2015-16,96.8,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
329,3471,2016-17,96.7,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
330,3472,2017-18,96.8,Female,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
331,3473,2009-10,93.6,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
332,3474,2010-11,94.6,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
333,3475,2011-12,95.1,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
334,3476,2012-13,95.8,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
335,3477,2013-14,95.7,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
336,3478,2014-15,95.7,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
337,3479,2015-16,95.9,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
338,3480,2016-17,95.9,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
339,3481,2017-18,95.6,Male,Gender,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
340,3482,2009-10,95.8,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
341,3483,2010-11,94.6,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
342,3484,2011-12,94.4,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
343,3485,2012-13,94.6,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
344,3486,2013-14,96.3,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
345,3487,2014-15,95.6,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
346,3488,2015-16,95.4,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
347,3489,2016-17,95.8,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
348,3490,2017-18,94.5,Aberdeen city,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
349,3491,2009-10,97.5,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
350,3492,2010-11,97.1,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
351,3493,2011-12,97,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
352,3494,2012-13,97.8,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
353,3495,2013-14,96.8,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
354,3496,2014-15,97.6,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
355,3497,2015-16,97.4,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2016
356,3498,2016-17,97.9,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2017
357,3499,2017-18,97.1,Aberdeenshire,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2018
358,3500,2009-10,93.5,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2010
359,3501,2010-11,95,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2011
360,3502,2011-12,95.8,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2012
361,3503,2012-13,96.1,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2013
362,3504,2013-14,96.1,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2014
363,3505,2014-15,96.5,Angus,Local authority,Educational attainment 5,Education,Proportion of school leavers attaining 1 or more award at SCQF Level 4 or above (1+ at SCQF Level 4 or better),School leaver attainment statistics,2015
